Date,Portfolio Value,Daily Return,Rolling Volatility,Drawdown
2019-01-03,96572.08157010154,-0.03427918429898453,,0.0
2019-01-04,99846.93078785687,0.03391093123925385,,0.0
2019-01-05,99782.10602894651,-0.0006492413777652973,,-0.0006492413777654102
2019-01-06,100983.26084204503,0.012037777722892119,,0.0
2019-01-07,101766.95117996293,0.007760596472951253,,0.0
2019-01-08,102377.4654040895,0.005999140359888916,,0.0
2019-01-09,102957.2081689988,0.005662796618582216,,0.0
2019-01-10,101474.04467449151,-0.014405630464190225,,-0.014405630464190066
2019-01-11,101337.56228306807,-0.0013449980422209407,,-0.015731252961639835
2019-01-12,101194.29966604145,-0.001413716827196221,,-0.01712273025181128
2019-01-13,100595.37650598005,-0.005918546420479887,,-0.022939934998450286
2019-01-14,100690.50696046633,0.0009456742227176628,,-0.022015954480931514
2019-01-15,101393.0105015082,0.006976859708509319,,-0.01519269699818449
2019-01-16,101951.5999581814,0.0055091515076859,,-0.009767244360071894
2019-01-17,102551.47049549902,0.005883875658289683,,-0.003940837953121112
2019-01-18,101241.34552979845,-0.012775291854621229,,-0.01666578445273936
2019-01-19,101632.87171930948,0.0038672558870309626,,-0.012862979418745417
2019-01-20,100937.49762703685,-0.0068420195209391915,,-0.019616990183404154
2019-01-21,100797.45150870632,-0.0013874538365119538,,-0.020977226351625154
2019-01-22,99713.1761316015,-0.010756972134470561,,-0.03150854704677294
2019-01-23,98980.31953220823,-0.007349646534436415,0.20553237458086926,-0.0386266168976019
2019-01-24,99191.9537636012,0.0021381445563437183,0.16454208002706447,-0.03657106163190766
2019-01-25,100289.8615619033,0.01106851671576807,0.12074209787925451,-0.025907332323125892
2019-01-26,100304.87581965372,0.00014970862973200384,0.12069980452603382,-0.02576150224461614
2019-01-27,100201.88501756599,-0.0010267776241796645,0.11289148016418855,-0.026761828534725713
2019-01-28,99212.98123153283,-0.00986911359860957,0.11345836434705066,-0.036366826607419425
2019-01-29,99056.89186917138,-0.0015732755978492274,0.11040810099744779,-0.037882887164396084
2019-01-30,101365.82351284295,0.023309146896321898,0.1383193489327684,-0.015456758049846031
2019-01-31,101477.8098619007,0.001104774224456073,0.12909006058043748,-0.01436906005327705
2019-02-01,102533.45372862373,0.010402706445474275,0.13383709722853057,-0.004115830721434238
2019-02-02,102728.14969314556,0.0018988530810358118,0.13370329672002662,-0.0022247929982449374
2019-02-03,102395.27443636449,-0.0032403509434891123,0.13233503964510215,-0.0054579348316431036
2019-02-04,102812.53800971444,0.00407502763820668,0.13279845488863812,-0.0014051484287228508
2019-02-05,103713.04507524348,0.008758728098356488,0.1339429192792051,0.0
2019-02-06,103101.0188314446,-0.005901150075719614,0.13505033954589715,-0.005901150075719624
2019-02-07,101729.8883275085,-0.013298903536324147,0.14172074638017432,-0.01912157478643323
2019-02-08,103160.44224841261,0.014062277511783206,0.14255258980547866,-0.0053281901657593915
2019-02-09,103185.33131513972,0.00024126560709367695,0.14216498054800655,-0.005088210067700874
2019-02-10,103292.05022382841,0.001034244958353403,0.13945039347604266,-0.004059227564957178
2019-02-11,103289.08304508308,-2.8726109501059366e-05,0.13921993220346054,-0.004087837068642791
2019-02-12,104202.07485924842,0.008839189847070472,0.13448311737798535,0.0
2019-02-13,104150.77745820006,-0.0004922877122904236,0.13042746211712833,-0.0004922877122902758
2019-02-14,103753.8770944569,-0.0038108247814324318,0.13222783079635256,-0.004301236471509084
2019-02-15,104947.95157202243,0.011508721514844784,0.1326090758807835,0.0
2019-02-16,104999.98950070568,0.0004958451108740381,0.1325471401340985,0.0
2019-02-17,105254.83090568855,0.0024270612425265183,0.13202213776728988,0.0
2019-02-18,106640.78526115394,0.013167608018935085,0.12918292077731366,0.0
2019-02-19,106831.07619114795,0.001784410434788175,0.12804820420500856,0.0
2019-02-20,107240.34453464793,0.003830985871261672,0.10626448414777864,0.0
